Ваше имя;Ваш пол;Samsung (1) или LG (2) ?;Samsung (1) или Indesit (3) ?;Samsung (1) или HotPoint (4) ?;LG (2) или Indesit (3) ?;LG (2) или HotPoint (4) ?;Indesit (3) или HotPoint (4) ?
Панкрат;М;1;1;1;2;4;4
Георгий;М;1;1;1;2;2;4
Федор;М;1;1;4;2;4;4
Арнольд;М;1;1;4;3;4;3
Аверкий;М;2;3;4;3;4;4
Матвей;М;2;1;4;2;4;4
Бронислав;М;1;3;4;3;4;4
Флор;М;1;3;4;3;4;3
Аввакум;М;1;1;1;3;2;3
Мирон;М;2;3;1;2;2;3
Гордей;М;1;3;1;3;2;4
Терентий;М;1;1;1;3;4;4
Рудольф;М;2;3;4;2;4;4
Кондратий;М;1;3;4;2;4;4
Афанасий;М;1;3;1;3;2;3
Трофим;М;1;3;4;3;4;3
Севастьян;М;1;1;4;2;4;4
Варлам;М;2;3;1;2;2;3
Аскольд;М;1;1;4;2;4;4
Виссарион;М;1;1;1;3;2;4
Илларион;М;1;3;1;3;2;3
Клемент;М;2;3;4;2;2;4
Вадим;М;1;1;4;2;4;4
Харитон;М;2;1;1;2;2;4
Лаврентий;М;1;1;1;3;2;3
Амалия;Ж;1;1;1;2;2;4
Ксения;Ж;1;1;1;3;4;4
Анисья;Ж;2;1;1;2;2;4
Аделия;Ж;1;1;1;2;4;4
Фия;Ж;2;1;1;2;2;4
Габи;Ж;2;1;4;2;2;4
Милена;Ж;1;1;4;2;2;4
Глория;Ж;1;1;1;2;2;3
Людмила;Ж;2;3;1;2;4;3
Станислава;Ж;2;1;4;2;2;4
Ксения;Ж;1;3;4;2;2;3
Софья;Ж;2;1;4;2;2;4
Зара;Ж;2;1;4;2;2;4
Анжелика;Ж;1;1;1;2;4;4
Лиана;Ж;2;1;4;2;4;4
Гаянэ;Ж;1;1;1;2;4;4
Томила;Ж;1;1;1;3;4;3
Амалия;Ж;1;1;1;2;2;4
Аделина;Ж;1;3;4;2;2;4
Диана;Ж;2;1;1;2;2;4
Янита;Ж;1;3;1;3;4;3
Биргит;Ж;2;1;1;2;2;4
Нелли;Ж;2;1;4;2;2;4
Сабина;Ж;2;1;4;2;4;3
Злата;Ж;1;1;1;2;4;4
Павел;М;2;1;1;2;2;4
Али;М;1;1;1;2;2;3
Сергей;М;2;1;1;2;2;4
Денчик;М;1;3;1;2;2;3
